author,Teks_bersih
@paulusharmoko6101,good job will
@ellysusia2800,terimakasih jon saham andalan saya jon
@afdulgapur4725,hadirrr
@fiqridihar437,termikasih ganteng 
@papahkiki8155,waduh ga ada cash lagi
@edwinfajar7057,siap siap ke 
@nirzanurfitriano4515,mantap ptba roboh bro  semoga besok masih turun mumpung gajian bisa nambah muatan dikit
@heroemuiman800,tungguin bang
@jambujaya2131,serok yg buanyak bosss
@jatmikokurniawan1103,bahas tapg bang
@jembak06..,nyimak
@farelsaputra1377,bang sido bang
@iradatimanamanda9087,setujuu
@muhammadarif5998,pertama jon waktunya serok ptba
@rudiwahyudi9244,mantul free yourk  pertamx 
@soundtubefree8075,mantul free yourk 
@Mankdolz,hadir
@jhonpolmanpurba7625,masih hold ptba bang
@ThePietzpanca,kalo porto ptba merah nyangkut di  tetep hold bang
@mukhammadsuharis782,terimakasih bang langsung dibahas 
@kamalayaofficial8942,pertama
