author,teks
@user-ih4rr8jb3f,Makasih bang ilmunya saya masih pemula dalam pasar modal.portovolio masih merah😊😊
@donbhosup27,sama om..merah gak pp jgn dinliatin. Fokus aja nambah lot sama saham yg di rasa yakin profit. Sisane mau merah .item ijo..terserah
@yahya8948,"Bang, bahas HRUM donk, thanks,,"
@adiputrapangestu5920,Kenapa sekitar bulan desember harga batu bara roboh??
@chickenforest3042,2840
@asepigun,PTBA semoga jadi rejekiku
@sucilestari470,Semoga dev minim 520
@jambujaya2131,Ini nih Q3 PTBA yg kita tunggu2.....
@amabrian1632,"Kalau ikuti chanel-nya koh Wil, selalu menenangkan. Mau floating los, floating profit tidak efek, selain perbanyak Lot demi cuan rupiah ngalir ke RDN. Saham blue chip enaknya semakin roboh, semakin menggairahkan. Serok habis tinggal tidur.😃😀"
@ThePietzpanca,Portofolio ptba merah ga usah kuatir ya bang? Tetep serok lagi kah?
@soundtubefree8075,Terimakasih Koh Will PBSA bagi lagi Dividen Rp.40 Yield 12% 😊
@kelfincr31,Bang bahas kkgi bang
@kanalsenisederhana,Yg tdk pernah lelah menyuarakan pentingnya dividen di bursa saham. Semoga rejeki ko wil selalu lancar dan berkah ya.
@fadilardiansyah1225,Kkgi anjlok bgt bang q3 nya
@hendrosuprayitno9614,bang tolong diinfo bagusan mana adro dan PT BA
@jambujaya2131,PTBA aja boss....
@rosalynmagdalena3791,Aku punya dua2nya...
@rezasaefullah9681,Masuk dua duanya😂
@Firda2010,"Sama aja, bedanya dividen ADRO 2x setahun, PTBA 1x setahun"
@ExGamer-f41z41,dividen PTBA selalu 100% jon
@harihandikasetiawan8586,Saham andalan ku
@ferripradana4265,"Merah banget koh 😂😂😂😂, wkwkwk"
@mukmin44,"Kalo sampai roboh ke 2000 ,kan artinya bwanyakk banget yang jualan.. Kira2 apa alasan mereka pada jualan?"
@nanihonipa,Biasanya fomo atau takut sama fear2 yg di tebar
@mutiaa.r9803,coal merah merona. serok nanggung nanggung gara2 fomo?
@satria2177,2.690 masih aman ga puh sepuh heheh
@SarahVirtyTami-uh2mw,Semoga terjun 2000
@jordanmartino8719,Jon q3 adro jangan lupa
@kiyahbrebes1666,Bener mase kalau nyangkut di emin aja hepiii debiden 🎉🎉🎉🎉
